2018-02-07 18:54:35,943 [INFO] __main__: Logging configuration of the file
2018-02-07 18:54:35,945 [INFO] __main__: LOGGING_CONFIG
2018-02-07 18:54:35,947 [INFO] generate_init: Initializing new configuration
2018-02-07 18:54:35,950 [INFO] src.agent_originaltypes: Created an agent with location [9 0], type 1, capacity 0.461885965296, view_radius 0.499484141764, view_angle 0.819821925386 in standard ranges
2018-02-07 18:54:35,950 [INFO] src.agent_originaltypes: Created an agent with location [9 7], type 2, capacity 0.247894534395, view_radius 0.303569663513, view_angle 0.63934431323 in standard ranges
2018-02-07 18:54:35,950 [INFO] src.agent_originaltypes: Created an agent with location [4 7], type 2, capacity 0.366861685277, view_radius 0.739805242105, view_angle 0.291841015886 in standard ranges
2018-02-07 18:54:36,070 [INFO] generate_init: Finished creating arena and agents. One item consumed due to overlap. Current item count is 20
2018-02-07 18:54:36,070 [INFO] src.ABU_estimator_noapproximation: Calling parent ABU via inheritance. This is ABU_noapproximation
2018-02-07 18:54:36,071 [INFO] src.agent_originaltypes: Created an agent with location [9 0], type 0, capacity 0.461885965296, view_radius 0.1, view_angle 0.819821925386 in standard ranges
2018-02-07 18:54:36,072 [INFO] src.agent_originaltypes: Created an agent with location [9 0], type 0, capacity 0.461885965296, view_radius 0.131034482759, view_angle 0.819821925386 in standard ranges
2018-02-07 18:54:36,072 [INFO] src.agent_originaltypes: Created an agent with location [9 0], type 0, capacity 0.461885965296, view_radius 0.162068965517, view_angle 0.819821925386 in standard ranges
2018-02-07 18:54:36,072 [INFO] src.agent_originaltypes: Created an agent with location [9 0], type 0, capacity 0.461885965296, view_radius 0.193103448276, view_angle 0.819821925386 in standard ranges
2018-02-07 18:54:36,073 [INFO] src.agent_originaltypes: Created an agent with location [9 0], type 0, capacity 0.461885965296, view_radius 0.224137931034, view_angle 0.819821925386 in standard ranges
2018-02-07 18:54:36,073 [INFO] src.agent_originaltypes: Created an agent with location [9 0], type 0, capacity 0.461885965296, view_radius 0.255172413793, view_angle 0.819821925386 in standard ranges
2018-02-07 18:54:36,073 [INFO] src.agent_originaltypes: Created an agent with location [9 0], type 0, capacity 0.461885965296, view_radius 0.286206896552, view_angle 0.819821925386 in standard ranges
2018-02-07 18:54:36,074 [INFO] src.agent_originaltypes: Created an agent with location [9 0], type 0, capacity 0.461885965296, view_radius 0.31724137931, view_angle 0.819821925386 in standard ranges
2018-02-07 18:54:36,074 [INFO] src.agent_originaltypes: Created an agent with location [9 0], type 0, capacity 0.461885965296, view_radius 0.348275862069, view_angle 0.819821925386 in standard ranges
2018-02-07 18:54:36,074 [INFO] src.agent_originaltypes: Created an agent with location [9 0], type 0, capacity 0.461885965296, view_radius 0.379310344828, view_angle 0.819821925386 in standard ranges
2018-02-07 18:54:36,075 [INFO] src.agent_originaltypes: Created an agent with location [9 0], type 0, capacity 0.461885965296, view_radius 0.410344827586, view_angle 0.819821925386 in standard ranges
2018-02-07 18:54:36,075 [INFO] src.agent_originaltypes: Created an agent with location [9 0], type 0, capacity 0.461885965296, view_radius 0.441379310345, view_angle 0.819821925386 in standard ranges
2018-02-07 18:54:36,075 [INFO] src.agent_originaltypes: Created an agent with location [9 0], type 0, capacity 0.461885965296, view_radius 0.472413793103, view_angle 0.819821925386 in standard ranges
2018-02-07 18:54:36,076 [INFO] src.agent_originaltypes: Created an agent with location [9 0], type 0, capacity 0.461885965296, view_radius 0.503448275862, view_angle 0.819821925386 in standard ranges
2018-02-07 18:54:36,076 [INFO] src.agent_originaltypes: Created an agent with location [9 0], type 0, capacity 0.461885965296, view_radius 0.534482758621, view_angle 0.819821925386 in standard ranges
