2018-02-12 01:35:18,280 [DEBUG] __main__: Iter 22, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,280 [DEBUG] __main__: Iter 23, turn UNI, randomaction: lpln
2018-02-12 01:35:18,280 [DEBUG] __main__: Iter 23, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,281 [DEBUG] __main__: Iter 24, turn UNI, randomaction: llrn
2018-02-12 01:35:18,281 [DEBUG] __main__: Iter 24, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,281 [DEBUG] __main__: Iter 25, turn UNI, randomaction: ldln
2018-02-12 01:35:18,281 [DEBUG] __main__: Iter 25, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,282 [DEBUG] __main__: Iter 26, turn UNI, randomaction: purn
2018-02-12 01:35:18,282 [DEBUG] __main__: Iter 26, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,282 [DEBUG] __main__: Iter 27, turn UNI, randomaction: llpn
2018-02-12 01:35:18,282 [DEBUG] __main__: Iter 27, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,283 [DEBUG] __main__: Iter 28, turn UNI, randomaction: rlln
2018-02-12 01:35:18,283 [DEBUG] __main__: Iter 28, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,283 [DEBUG] __main__: Iter 29, turn UNI, randomaction: purn
2018-02-12 01:35:18,283 [DEBUG] __main__: Iter 29, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,284 [DEBUG] __main__: Iter 30, turn UNI, randomaction: ldpn
2018-02-12 01:35:18,284 [DEBUG] __main__: Iter 30, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,284 [DEBUG] __main__: Iter 31, turn UNI, randomaction: plln
2018-02-12 01:35:18,284 [DEBUG] __main__: Iter 31, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,285 [DEBUG] __main__: Iter 32, turn UNI, randomaction: ldrn
2018-02-12 01:35:18,285 [DEBUG] __main__: Iter 32, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,285 [DEBUG] __main__: Iter 33, turn UNI, randomaction: ddln
2018-02-12 01:35:18,285 [DEBUG] __main__: Iter 33, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,286 [DEBUG] __main__: Iter 34, turn UNI, randomaction: rpln
2018-02-12 01:35:18,286 [DEBUG] __main__: Iter 34, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,286 [DEBUG] __main__: Iter 35, turn UNI, randomaction: dprn
