2018-01-28 15:01:07,456 [INFO] generate_init: Initializing new configuration
2018-01-28 15:01:07,471 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.269595661185, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,475 [INFO] src.agent_originaltypes: Created an agent with location [7 0], type 1, capacity 0.447204688274, view_radius 0.450888961533, view_angle 0.18262765159 in standard ranges
2018-01-28 15:01:07,487 [INFO] src.agent_originaltypes: Created an agent with location [1 1], type 1, capacity 0.483438465743, view_radius 0.272520003965, view_angle 0.253989755843 in standard ranges
2018-01-28 15:01:07,639 [INFO] generate_init: Finished creating arena and agents. One item consumed due to overlap. Current item count is 19
2018-01-28 15:01:07,641 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.1, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,641 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.101803607214, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,642 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.103607214429, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,642 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.105410821643, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,643 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.107214428858, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,643 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.109018036072, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,644 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.110821643287, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,644 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.112625250501, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,645 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.114428857715, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,646 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.11623246493, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,647 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.118036072144, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,647 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.119839679359, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,648 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.121643286573, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,649 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.123446893788, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,650 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.125250501002, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,650 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.127054108216, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,651 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.128857715431, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,652 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.130661322645, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,653 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.13246492986, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,653 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.134268537074, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,654 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.136072144289, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,654 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.137875751503, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,655 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.139679358717, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,656 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.141482965932, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,656 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.143286573146, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,657 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.145090180361, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,657 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.146893787575, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,658 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.14869739479, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,658 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.150501002004, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,659 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.152304609218, view_angle 0.426778907765 in standard ranges
2018-01-28 15:01:07,659 [INFO] src.agent_originaltypes: Created an agent with location [6 7], type 0, capacity 0.24064385718, view_radius 0.154108216433, view_angle 0.426778907765 in standard ranges
