2018-02-12 01:37:50,441 [DEBUG] __main__: Iter 23, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,442 [DEBUG] __main__: Iter 24, turn UNI, randomaction: rpln
2018-02-12 01:37:50,442 [DEBUG] __main__: Iter 24, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,442 [DEBUG] __main__: Iter 25, turn UNI, randomaction: pdrn
2018-02-12 01:37:50,442 [DEBUG] __main__: Iter 25, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,443 [DEBUG] __main__: Iter 26, turn UNI, randomaction: rprn
2018-02-12 01:37:50,443 [DEBUG] __main__: Iter 26, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,443 [DEBUG] __main__: Iter 27, turn UNI, randomaction: ppln
2018-02-12 01:37:50,443 [DEBUG] __main__: Iter 27, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,444 [DEBUG] __main__: Iter 28, turn UNI, randomaction: pddn
2018-02-12 01:37:50,444 [DEBUG] __main__: Iter 28, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,444 [DEBUG] __main__: Iter 29, turn UNI, randomaction: rlln
2018-02-12 01:37:50,445 [DEBUG] __main__: Iter 29, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,445 [DEBUG] __main__: Iter 30, turn UNI, randomaction: rdun
2018-02-12 01:37:50,445 [DEBUG] __main__: Iter 30, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,445 [DEBUG] __main__: Iter 31, turn UNI, randomaction: plrn
2018-02-12 01:37:50,446 [DEBUG] __main__: Iter 31, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,446 [DEBUG] __main__: Iter 32, turn UNI, randomaction: rdpn
2018-02-12 01:37:50,446 [DEBUG] __main__: Iter 32, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,446 [DEBUG] __main__: Iter 33, turn UNI, randomaction: pldn
2018-02-12 01:37:50,446 [DEBUG] __main__: Iter 33, turn AIG, randomaction: nnnl
2018-02-12 01:37:50,447 [DEBUG] __main__: Iter 34, turn UNI, randomaction: rlun
2018-02-12 01:37:50,447 [DEBUG] __main__: Iter 34, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,447 [DEBUG] __main__: Iter 35, turn UNI, randomaction: rlrn
2018-02-12 01:37:50,447 [DEBUG] __main__: Iter 35, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,448 [DEBUG] __main__: Iter 36, turn UNI, randomaction: plpn
2018-02-12 01:37:50,448 [DEBUG] __main__: Iter 36, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,448 [DEBUG] __main__: Iter 37, turn UNI, randomaction: ppun
2018-02-12 01:37:50,448 [DEBUG] __main__: Iter 37, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,449 [DEBUG] __main__: Iter 38, turn UNI, randomaction: rdun
2018-02-12 01:37:50,449 [DEBUG] __main__: Iter 38, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,449 [DEBUG] __main__: Iter 39, turn UNI, randomaction: pdpn
2018-02-12 01:37:50,449 [DEBUG] __main__: Iter 39, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,450 [DEBUG] __main__: Iter 40, turn UNI, randomaction: rlun
2018-02-12 01:37:50,450 [DEBUG] __main__: Iter 40, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,450 [DEBUG] __main__: Iter 41, turn UNI, randomaction: rpln
2018-02-12 01:37:50,450 [DEBUG] __main__: Iter 41, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,451 [DEBUG] __main__: Iter 42, turn UNI, randomaction: rprn
2018-02-12 01:37:50,451 [DEBUG] __main__: Iter 42, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,451 [DEBUG] __main__: Iter 43, turn UNI, randomaction: pppn
2018-02-12 01:37:50,451 [DEBUG] __main__: Iter 43, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,452 [DEBUG] __main__: Iter 44, turn UNI, randomaction: rddn
2018-02-12 01:37:50,452 [DEBUG] __main__: Iter 44, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,452 [DEBUG] __main__: Iter 45, turn UNI, randomaction: plun
2018-02-12 01:37:50,452 [DEBUG] __main__: Iter 45, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,453 [DEBUG] __main__: Iter 46, turn UNI, randomaction: rdun
2018-02-12 01:37:50,453 [DEBUG] __main__: Iter 46, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,453 [DEBUG] __main__: Iter 47, turn UNI, randomaction: plln
2018-02-12 01:37:50,453 [DEBUG] __main__: Iter 47, turn AIG, randomaction: nnnl
2018-02-12 01:37:50,454 [DEBUG] __main__: Iter 48, turn UNI, randomaction: rlpn
2018-02-12 01:37:50,454 [DEBUG] __main__: Iter 48, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,454 [DEBUG] __main__: Iter 49, turn UNI, randomaction: ppun
2018-02-12 01:37:50,454 [DEBUG] __main__: Iter 49, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,454 [DEBUG] __main__: Iter 50, turn UNI, randomaction: rpln
2018-02-12 01:37:50,455 [DEBUG] __main__: Iter 50, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,455 [DEBUG] __main__: Iter 51, turn UNI, randomaction: ppun
2018-02-12 01:37:50,455 [DEBUG] __main__: Iter 51, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,455 [DEBUG] __main__: Iter 52, turn UNI, randomaction: pppn
2018-02-12 01:37:50,456 [DEBUG] __main__: Iter 52, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,456 [DEBUG] __main__: Iter 53, turn UNI, randomaction: plln
2018-02-12 01:37:50,456 [DEBUG] __main__: Iter 53, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,456 [DEBUG] __main__: Iter 54, turn UNI, randomaction: ppdn
2018-02-12 01:37:50,457 [DEBUG] __main__: Iter 54, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,457 [DEBUG] __main__: Iter 55, turn UNI, randomaction: rdrn
2018-02-12 01:37:50,457 [DEBUG] __main__: Iter 55, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,457 [DEBUG] __main__: Iter 56, turn UNI, randomaction: plrn
2018-02-12 01:37:50,458 [DEBUG] __main__: Iter 56, turn AIG, randomaction: nnnl
2018-02-12 01:37:50,458 [DEBUG] __main__: Iter 57, turn UNI, randomaction: pdrn
