2018-02-07 17:06:54,494 [INFO] __main__: Logging configuration of the file
2018-02-07 17:06:54,495 [INFO] __main__: LOGGING_CONFIG
2018-02-07 17:06:54,497 [INFO] generate_init: Initializing new configuration
2018-02-07 17:06:54,499 [INFO] src.agent_originaltypes: Created an agent with location [0 8], type 1, capacity 0.365024431032, view_radius 0.210882808761, view_angle 0.720365673037 in standard ranges
2018-02-07 17:06:54,499 [INFO] src.agent_originaltypes: Created an agent with location [7 8], type 2, capacity 0.447175703799, view_radius 0.631463418541, view_angle 0.183589749745 in standard ranges
2018-02-07 17:06:54,500 [INFO] src.agent_originaltypes: Created an agent with location [2 6], type 2, capacity 0.354594833961, view_radius 0.167712564757, view_angle 0.592535585176 in standard ranges
2018-02-07 17:06:54,605 [INFO] generate_init: Finished creating arena and agents. One item consumed due to overlap. Current item count is 20
2018-02-07 17:06:54,605 [INFO] src.ABU_estimator_noapproximation: Calling parent ABU via inheritance. This is ABU_noapproximation
2018-02-07 17:06:54,606 [INFO] src.agent_originaltypes: Created an agent with location [0 8], type 0, capacity 0.365024431032, view_radius 0.1, view_angle 0.720365673037 in standard ranges
2018-02-07 17:06:54,606 [INFO] src.agent_originaltypes: Created an agent with location [0 8], type 0, capacity 0.365024431032, view_radius 0.103010033445, view_angle 0.720365673037 in standard ranges
2018-02-07 17:06:54,606 [INFO] src.agent_originaltypes: Created an agent with location [0 8], type 0, capacity 0.365024431032, view_radius 0.10602006689, view_angle 0.720365673037 in standard ranges
2018-02-07 17:06:54,607 [INFO] src.agent_originaltypes: Created an agent with location [0 8], type 0, capacity 0.365024431032, view_radius 0.109030100334, view_angle 0.720365673037 in standard ranges
2018-02-07 17:06:54,607 [INFO] src.agent_originaltypes: Created an agent with location [0 8], type 0, capacity 0.365024431032, view_radius 0.112040133779, view_angle 0.720365673037 in standard ranges
2018-02-07 17:06:54,607 [INFO] src.agent_originaltypes: Created an agent with location [0 8], type 0, capacity 0.365024431032, view_radius 0.115050167224, view_angle 0.720365673037 in standard ranges
2018-02-07 17:06:54,607 [INFO] src.agent_originaltypes: Created an agent with location [0 8], type 0, capacity 0.365024431032, view_radius 0.118060200669, view_angle 0.720365673037 in standard ranges
2018-02-07 17:06:54,607 [INFO] src.agent_originaltypes: Created an agent with location [0 8], type 0, capacity 0.365024431032, view_radius 0.121070234114, view_angle 0.720365673037 in standard ranges
2018-02-07 17:06:54,608 [INFO] src.agent_originaltypes: Created an agent with location [0 8], type 0, capacity 0.365024431032, view_radius 0.124080267559, view_angle 0.720365673037 in standard ranges
