2018-02-12 01:37:19,223 [DEBUG] __main__: Iter 22, turn AIG, randomaction: nnnl
2018-02-12 01:37:19,223 [DEBUG] __main__: Iter 23, turn UNI, randomaction: rppn
2018-02-12 01:37:19,223 [DEBUG] __main__: Iter 23, turn AIG, randomaction: nnnu
2018-02-12 01:37:19,224 [DEBUG] __main__: Iter 24, turn UNI, randomaction: ludn
2018-02-12 01:37:19,224 [DEBUG] __main__: Iter 24, turn AIG, randomaction: nnnr
2018-02-12 01:37:19,224 [DEBUG] __main__: Iter 25, turn UNI, randomaction: dupn
2018-02-12 01:37:19,224 [DEBUG] __main__: Iter 25, turn AIG, randomaction: nnnr
2018-02-12 01:37:19,225 [DEBUG] __main__: Iter 26, turn UNI, randomaction: luln
2018-02-12 01:37:19,225 [DEBUG] __main__: Iter 26, turn AIG, randomaction: nnnu
2018-02-12 01:37:19,225 [DEBUG] __main__: Iter 27, turn UNI, randomaction: ppln
2018-02-12 01:37:19,225 [DEBUG] __main__: Iter 27, turn AIG, randomaction: nnnr
2018-02-12 01:37:19,226 [DEBUG] __main__: Iter 28, turn UNI, randomaction: rddn
2018-02-12 01:37:19,226 [DEBUG] __main__: Iter 28, turn AIG, randomaction: nnnp
2018-02-12 01:37:19,226 [DEBUG] __main__: Iter 29, turn UNI, randomaction: lppn
2018-02-12 01:37:19,226 [DEBUG] __main__: Iter 29, turn AIG, randomaction: nnnl
2018-02-12 01:37:19,227 [DEBUG] __main__: Iter 30, turn UNI, randomaction: ddln
2018-02-12 01:37:19,227 [DEBUG] __main__: Iter 30, turn AIG, randomaction: nnnl
2018-02-12 01:37:19,227 [DEBUG] __main__: Iter 31, turn UNI, randomaction: pdpn
2018-02-12 01:37:19,227 [DEBUG] __main__: Iter 31, turn AIG, randomaction: nnnp
2018-02-12 01:37:19,228 [DEBUG] __main__: Iter 32, turn UNI, randomaction: rdln
2018-02-12 01:37:19,228 [DEBUG] __main__: Iter 32, turn AIG, randomaction: nnnp
2018-02-12 01:37:19,228 [DEBUG] __main__: Iter 33, turn UNI, randomaction: prln
2018-02-12 01:37:19,228 [DEBUG] __main__: Iter 33, turn AIG, randomaction: nnnu
2018-02-12 01:37:19,229 [DEBUG] __main__: Iter 34, turn UNI, randomaction: duln
2018-02-12 01:37:19,229 [DEBUG] __main__: Iter 34, turn AIG, randomaction: nnnl
2018-02-12 01:37:19,229 [DEBUG] __main__: Iter 35, turn UNI, randomaction: drdn
2018-02-12 01:37:19,229 [DEBUG] __main__: Iter 35, turn AIG, randomaction: nnnp
2018-02-12 01:37:19,230 [DEBUG] __main__: Iter 36, turn UNI, randomaction: luln
2018-02-12 01:37:19,230 [DEBUG] __main__: Iter 36, turn AIG, randomaction: nnnu
2018-02-12 01:37:19,230 [DEBUG] __main__: Iter 37, turn UNI, randomaction: prpn
2018-02-12 01:37:19,230 [DEBUG] __main__: Iter 37, turn AIG, randomaction: nnnr
2018-02-12 01:37:19,231 [DEBUG] __main__: Iter 38, turn UNI, randomaction: duln
2018-02-12 01:37:19,231 [DEBUG] __main__: Iter 38, turn AIG, randomaction: nnnl
2018-02-12 01:37:19,231 [DEBUG] __main__: Iter 39, turn UNI, randomaction: rdln
2018-02-12 01:37:19,231 [DEBUG] __main__: Iter 39, turn AIG, randomaction: nnnp
2018-02-12 01:37:19,232 [DEBUG] __main__: Iter 40, turn UNI, randomaction: pudn
2018-02-12 01:37:19,232 [DEBUG] __main__: Iter 40, turn AIG, randomaction: nnnl
2018-02-12 01:37:19,232 [DEBUG] __main__: Iter 41, turn UNI, randomaction: lppn
2018-02-12 01:37:19,232 [DEBUG] __main__: Iter 41, turn AIG, randomaction: nnnr
2018-02-12 01:37:19,233 [DEBUG] __main__: Iter 42, turn UNI, randomaction: ppdn
2018-02-12 01:37:19,233 [DEBUG] __main__: Iter 42, turn AIG, randomaction: nnnr
2018-02-12 01:37:19,233 [DEBUG] __main__: Iter 43, turn UNI, randomaction: lrdn
2018-02-12 01:37:19,233 [DEBUG] __main__: Iter 43, turn AIG, randomaction: nnnr
2018-02-12 01:37:19,234 [DEBUG] __main__: Iter 44, turn UNI, randomaction: ppln
2018-02-12 01:37:19,234 [DEBUG] __main__: Iter 44, turn AIG, randomaction: nnnp
2018-02-12 01:37:19,234 [DEBUG] __main__: Iter 45, turn UNI, randomaction: prdn
2018-02-12 01:37:19,234 [DEBUG] __main__: Iter 45, turn AIG, randomaction: nnnu
2018-02-12 01:37:19,235 [DEBUG] __main__: Iter 46, turn UNI, randomaction: pudn
2018-02-12 01:37:19,235 [DEBUG] __main__: Iter 46, turn AIG, randomaction: nnnr
2018-02-12 01:37:19,235 [DEBUG] __main__: Iter 47, turn UNI, randomaction: prln
2018-02-12 01:37:19,235 [DEBUG] __main__: Iter 47, turn AIG, randomaction: nnnu
2018-02-12 01:37:19,235 [DEBUG] __main__: Iter 48, turn UNI, randomaction: rdln
2018-02-12 01:37:19,236 [DEBUG] __main__: Iter 48, turn AIG, randomaction: nnnu
2018-02-12 01:37:19,236 [DEBUG] __main__: Iter 49, turn UNI, randomaction: ddln
2018-02-12 01:37:19,236 [DEBUG] __main__: Iter 49, turn AIG, randomaction: nnnu
2018-02-12 01:37:19,236 [DEBUG] __main__: Iter 50, turn UNI, randomaction: dddn
2018-02-12 01:37:19,237 [DEBUG] __main__: Iter 50, turn AIG, randomaction: nnnr
