2018-02-07 17:02:12,235 [INFO] __main__: Logging configuration of the file
2018-02-07 17:02:12,237 [INFO] __main__: LOGGING_CONFIG
2018-02-07 17:02:12,239 [INFO] generate_init: Initializing new configuration
2018-02-07 17:02:12,241 [INFO] src.agent_originaltypes: Created an agent with location [8 7], type 0, capacity 0.28738666547, view_radius 0.373605595416, view_angle 0.181526736553 in standard ranges
2018-02-07 17:02:12,241 [INFO] src.agent_originaltypes: Created an agent with location [5 3], type 1, capacity 0.102146204934, view_radius 0.439833739427, view_angle 0.558829106523 in standard ranges
2018-02-07 17:02:12,242 [INFO] src.agent_originaltypes: Created an agent with location [4 8], type 2, capacity 0.295914638217, view_radius 0.413228230865, view_angle 0.789768340922 in standard ranges
2018-02-07 17:02:12,360 [INFO] generate_init: Finished creating arena and agents. One item consumed due to overlap. Current item count is 19
2018-02-07 17:02:12,361 [INFO] src.ABU_estimator_noapproximation: Calling parent ABU via inheritance. This is ABU_noapproximation
2018-02-07 17:02:12,361 [INFO] src.agent_originaltypes: Created an agent with location [8 7], type 0, capacity 0.28738666547, view_radius 0.1, view_angle 0.181526736553 in standard ranges
2018-02-07 17:02:12,362 [INFO] src.agent_originaltypes: Created an agent with location [8 7], type 0, capacity 0.28738666547, view_radius 0.103010033445, view_angle 0.181526736553 in standard ranges
2018-02-07 17:02:12,362 [INFO] src.agent_originaltypes: Created an agent with location [8 7], type 0, capacity 0.28738666547, view_radius 0.10602006689, view_angle 0.181526736553 in standard ranges
2018-02-07 17:02:12,362 [INFO] src.agent_originaltypes: Created an agent with location [8 7], type 0, capacity 0.28738666547, view_radius 0.109030100334, view_angle 0.181526736553 in standard ranges
2018-02-07 17:02:12,363 [INFO] src.agent_originaltypes: Created an agent with location [8 7], type 0, capacity 0.28738666547, view_radius 0.112040133779, view_angle 0.181526736553 in standard ranges
2018-02-07 17:02:12,363 [INFO] src.agent_originaltypes: Created an agent with location [8 7], type 0, capacity 0.28738666547, view_radius 0.115050167224, view_angle 0.181526736553 in standard ranges
2018-02-07 17:02:12,364 [INFO] src.agent_originaltypes: Created an agent with location [8 7], type 0, capacity 0.28738666547, view_radius 0.118060200669, view_angle 0.181526736553 in standard ranges
