2018-01-28 16:10:38,487 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 1, capacity 0.192303447825, view_radius 0.9, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,487 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 1, capacity 0.192303447825, view_radius 1.0, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,487 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 2, capacity 0.192303447825, view_radius 0.1, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,488 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 2, capacity 0.192303447825, view_radius 0.2, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,488 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 2, capacity 0.192303447825, view_radius 0.3, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,488 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 2, capacity 0.192303447825, view_radius 0.4, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,488 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 2, capacity 0.192303447825, view_radius 0.5, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,488 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 2, capacity 0.192303447825, view_radius 0.6, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,489 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 2, capacity 0.192303447825, view_radius 0.7, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,489 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 2, capacity 0.192303447825, view_radius 0.8, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,489 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 2, capacity 0.192303447825, view_radius 0.9, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,489 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 2, capacity 0.192303447825, view_radius 1.0, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,490 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 3, capacity 0.192303447825, view_radius 0.1, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,490 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 3, capacity 0.192303447825, view_radius 0.2, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,490 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 3, capacity 0.192303447825, view_radius 0.3, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,490 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 3, capacity 0.192303447825, view_radius 0.4, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,490 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 3, capacity 0.192303447825, view_radius 0.5, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,491 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 3, capacity 0.192303447825, view_radius 0.6, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,491 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 3, capacity 0.192303447825, view_radius 0.7, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,491 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 3, capacity 0.192303447825, view_radius 0.8, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,491 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 3, capacity 0.192303447825, view_radius 0.9, view_angle 0.434606441936 in standard ranges
2018-01-28 16:10:38,492 [INFO] src.agent_expressive1: Created an agent with location [7 7], type 3, capacity 0.192303447825, view_radius 1.0, view_angle 0.434606441936 in standard ranges
